SP;nom_sc;nom_fr;ID_TAXON;;
ACENIP;Aceros nipalensis;Calao à cou roux;11121;;
ACEPLI;Aceros plicatus;Calao papou;11130;;
ACESUB;Aceros subruficollis;Calao à gorge claire;11129;;
ACEUND;Aceros undulatus;Calao festonné;11126;;
ACEWAL;Aceros waldeni;Calao de Walden;11123;;
ACGRAC;Acrocephalus gracilirostris;Rousserolle à bec fin;16093;;
ACGRAN;Acridotheres grandis;Grand Martin;15231;;
ACHPYC;Achaetops pycnopygius;Achétopse à flancs roux;16014;;
ACRAED;Acrocephalus aedon;Rousserolle à gros bec;16095;;
ACRAEQ;Acrocephalus aequinoctialis;Rousserolle de la Ligne;16085;;
ACRAGR;Acrocephalus agricola;Rousserolle isabelle;16067;;
ACRALB;Acridotheres albocinctus;Martin à collier;15233;;
ACRARU;Acrocephalus arundinaceus;Rousserolle turdoïde;16074;;
ACRATY;Acrocephalus atyphus;Rousserolle des Touamotou;16088;;
ACRAUS;Acrocephalus australis;Rousserolle d'Australie;16079;;
ACRBAE;Acrocephalus baeticatus;Rousserolle africaine;16070;;
ACRBIS;Acrocephalus bistrigiceps;Rousserolle de Schrenck;16065;;
ACRBRE;Acrocephalus brevipennis;Rousserolle du Cap-Vert;16092;;
ACRCAF;Acrocephalus caffer;Rousserolle à long bec;16086;;
ACRCON;Acrocephalus concinens;Rousserolle de Swinhoe;16068;;
ACRCRI;Acridotheres cristatellus;Martin huppé;15234;;
ACRDUM;Acrocephalus dumetorum;Rousserolle des buissons;16072;;
ACRFAM;Acrocephalus familiaris;Rousserolle obscure;16083;;
ACRFUS;Acridotheres fuscus;Martin forestier;15230;;
ACRGIN;Acridotheres ginginianus;Martin des berges;15229;;
ACRGRI;Acrocephalus griseldis;Rousserolle d'Irak;16078;;
ACRJAV;Acridotheres javanicus;Martin à ventre blanc;15232;;
ACRKER;Acrocephalus kerearako;Rousserolle des Cook;16089;;
ACRLUS;Acrocephalus luscinia;Rousserolle rossignol;16080;;
ACRMEL;Acrocephalus melanopogon;Lusciniole à moustaches;16061;;
ACRMEN;Acrocephalus mendanae;Rousserolle des Marquises;16087;;
ACRNEW;Acrocephalus newtoni;Rousserolle de Newton;16094;;
ACROLA;Acrocephalus paludicola;Phragmite aquatique;16062;;
ACRORI;Acrocephalus orientalis;Rousserolle d'Orient;16075;;
ACRORT;Acropternis orthonyx;Mérulaxe ocellé;13154;;
ACRREH;Acrocephalus rehsei;Rousserolle de Nauru;16082;;
ACRRIS;Acrocephalus palustris;Rousserolle verderolle;16073;;
ACRRUF;Acrocephalus rufescens;Rousserolle des cannes;16091;;
ACRSCH;Acrocephalus schoenobaenus;Phragmite des joncs;16063;;
ACRSCI;Acrocephalus scirpaceus;Rousserolle effarvatte;16069;;
ACRSOR;Acrocephalus sorghophilus;Rousserolle sorghophile;16064;;
ACRSPE;Acrocephalus;;16060;;
ACRSTE;Acrocephalus stentoreus;Rousserolle stentor;16076;;
ACRSYR;Acrocephalus syrinx;Rousserolle des Carolines;16081;;
ACRTAN;Acrocephalus tangorum;Rousserolle mandchoue;16066;;
ACRTRI;Acridotheres tristis;Martin triste;15228;;
ACRVAU;Acrocephalus vaughani;Rousserolle des Pitcairn;16090;;
ACRVUL;Acryllium vulturinum;Pintade vulturine;8119;;
ACTAFR;Actophilornis africana;Jacana à poitrine dorée;8406;;
ACTALB;Actophilornis albinucha;Jacana malgache;8407;;
ACTBOU;Actenoides bougainvillei;Martin-chasseur à moustaches;10960;;
ACTCON;Actenoides concretus;Martin-chasseur trapu;10961;;
ACTEGE;Actinodura egertoni;Actinodure d'Egerton;16653;;
ACTHOM;Actenoides hombroni;Martin-chasseur de Hombron;10963;;
ACTHYP;Tringa hypoleucos;Chevalier guignette;8481;;
ACTLIN;Actenoides lindsayi;Martin-chasseur tacheté;10962;;
ACTMON;Actenoides monachus;Martin-chasseur moine;10964;;
ACTMOR;Actinodura morrisoniana;Actinodure de Taiwan;16658;;
ACTNIP;Actinodura nipalensis;Actinodure du Népal;16655;;
ACTPRI;Actenoides princeps;Martin-chasseur royal;10965;;
ACTRAM;Actinodura ramsayi;Actinodure de Ramsay;16654;;
ACTRIN;Accipiter trinotatus;Épervier à queue tachetée;7480;;
ACTRIV;Accipiter trivirgatus;Autour huppé;7470;;
ACTSOU;Actinodura souliei;Actinodure de Soulié;16657;;
ACTWAL;Actinodura waldeni;Actinodure de Walden;16656;;
ADEMEL;Adelomyia melanogenys;Colibri moucheté;10624;;
AECCLA;Aechmophorus clarkii;Grèbe à face blanche;6650;;
AECOCC;Aechmophorus occidentalis;Grèbe élégant;6649;;
AEGACA;Aegolius acadicus;Petite Nyctale;10082;;
AEGALB;Aegotheles albertisii;Égothèle montagnard;10150;;
AEGARC;Aegotheles archboldi;Égothèle d'Archbold;10149;;
AEGBEN;Aegotheles bennettii;Égothèle de Bennett;10147;;
AEGCAU;Aegithalos caudatus;Mésange à longue queue;15543;;
AEGCAUCAU;Aegithalos caudatus caudatus;;18789;;
AEGCAUROS;Aegithalos caudatus rosaceus;;18790;;
AEGCON;Aegithalos concinnus;Mésange à tête rousse;15545;;
AEGFUL;Aegithalos fuliginosus;Mésange à col blanc;15548;;
AEGFUN;Aegolius funereus;Nyctale de Tengmalm;10081;;
AEGHAR;Aegolius harrisii;Nyctale de Harris;10084;;
AEGINS;Aegotheles insignis;Grand Égothèle;10144;;
AEGIOU;Aegithalos iouschistos;Mésange de Blyth;15547;;
AEGLAF;Aegithina lafresnayei;Iora de Lafresnaye;14401;;
AEGLEU;Aegithalos leucogenys;Mésange à joues blanches;15544;;
AEGMON;Aegypius monachus;Vautour moine;7415;;
AEGNIG;Aegithina nigrolutea;Iora à queue blanche;14399;;
AEGNIV;Aegithalos niveogularis;Mésange à gorge blanche;15546;;
AEGONS;Aegotheles crinifrons;Égothèle des Moluques;10143;;
AEGRID;Aegolius ridgwayi;Nyctale immaculée;10083;;
AEGSAV;Aegotheles savesi;Égothèle calédonien;10146;;
AEGTIP;Aegithina tiphia;Petit Iora;14398;;
AEGTUS;Aegotheles cristatus;Égothèle d'Australie;10145;;
AEGVIR;Aegithina viridissima;Iora émeraude;14400;;
AEGWAL;Aegotheles wallacii;Égothèle de Wallace;10148;;
AENMAR;Aenigmatolimnas marginalis;Marouette rayée;8279;;
AERAND;Aeronautes andecolus;Martinet des Andes;10358;;
AERMON;Aeronautes montivagus;Martinet montagnard;10357;;
AERSAX;Aeronautes saxatalis;Martinet à gorge blanche;10356;;
AETBOL;Aethopyga boltoni;Souimanga de Bolton;17022;;
AETCHR;Aethopyga christinae;Souimanga de Christine;17030;;
AETCRI;Aethia cristatella;Starique cristatelle;8853;;
AETDUY;Aethopyga duyvenbodei;Souimanga des Sangi;17025;;
AETEXI;Aethopyga eximia;Souimanga de Java;17029;;
AETFLA;Aethopyga flagrans;Souimanga flamboyant;17023;;
AETGOU;Aethopyga gouldiae;Souimanga de Gould;17027;;
AETIGN;Aethopyga ignicauda;Souimanga queue-de-feu;17034;;
AETMYS;Aethopyga mystacalis;Souimanga écarlate;17033;;
AETNIP;Aethopyga nipalensis;Souimanga à queue verte;17028;;
AETPRI;Aethopyga primigenius;Souimanga d'Hachisuka;17021;;
AETPUL;Aethopyga pulcherrima;Souimanga montagnard;17024;;
AETPUS;Aethia pusilla;Starique minuscule;8855;;
AETPYG;Aethia pygmaea;Starique pygmée;8854;;
AETSAT;Aethopyga saturata;Souimanga sombre;17031;;
AETSHE;Aethopyga shelleyi;Souimanga ravissant;17026;;
AETSIP;Aethopyga siparaja;Souimanga siparaja;17032;;
AFRCON;Afropavo congensis;Paon du Congo;8104;;
AGAAGA;Agamia agami;Héron agami;6972;;
AGACAN;Agapornis canus;Inséparable à tête grise;9466;;
AGAFIS;Agapornis fischeri;Inséparable de Fischer;9471;;
AGALIL;Agapornis lilianae;Inséparable de Lilian;9473;;
AGANIG;Agapornis nigrigenis;Inséparable à joues noires;9474;;
AGAPER;Agapornis personatus;Inséparable masqué;9472;;
AGAPUL;Agapornis pullarius;Inséparable à tête rouge;9467;;
AGAROS;Agapornis roseicollis;Inséparable rosegorge;9470;;
AGASWI;Agapornis swindernianus;Inséparable à collier noir;9469;;
AGATAR;Agapornis taranta;Inséparable d'Abyssinie;9468;;
AGECYA;Agelaius cyanopus;Carouge unicolore;18724;;
AGEFLA;Agelaius flavus;Carouge safran;18721;;
AGEHUM;Agelaius humeralis;Petit Carouge;18728;;
AGEICT;Agelaius icterocephalus;Carouge à capuchon;18727;;
AGEMEL;Agelastes meleagrides;Pintade à poitrine blanche;8110;;
AGENIG;Agelastes niger;Pintade noire;8111;;
AGEPHO;Agelaius phoeniceus;Carouge à épaulettes;18725;;
AGERUF;Agelaius ruficapillus;Carouge à calotte rousse;18730;;
AGETHI;Agelaius thilius;Carouge galonné;18723;;
AGETRI;Agelaius tricolor;Carouge de Californie;18726;;
AGLALI;Aglaeactis aliciae;Colibri d'Alice;10664;;
AGLCAS;Aglaeactis castelnaudii;Colibri de Castelneau;10663;;
AGLCOE;Aglaiocercus coelestis;Sylphe à queue violette;10752;;
AGLCUP;Aglaeactis cupripennis;Colibri étincelant;10662;;
AGLKIN;Aglaiocercus kingi;Sylphe à queue d'azur;10751;;
AGLMUS;Agelaius xanthophthalmus;Carouge à oeil clair;18722;;
AGLPAM;Aglaeactis pamela;Colibri paméla;10665;;
AGOMUS;Agelaius xanthomus;Carouge de Porto Rico;18729;;
AGRAND;Agriornis andicola;Gaucho à queue blanche;12085;;
AGRLIV;Agriornis livida;Grand Gaucho;12086;;
AGRMIC;Agriornis microptera;Gaucho argentin;12087;;
AGRMON;Agriornis montana;Gaucho à bec noir;12084;;
AGRMUR;Agriornis murina;Gaucho souris;12088;;
AGROCE;Agriocharis ocellata;Dindon ocellé;7883;;
AILBUC;Ailuroedus buccoides;Jardinier à joues blanches;13175;;
AILCRA;Ailuroedus crassirostris;Jardinier vert;13177;;
AILDEN;Ailuroedus dentirostris;Jardinier à bec denté;13178;;
AILMEL;Ailuroedus melanotis;Jardinier oreillard;13176;;
AIMAES;Aimophila aestivalis;Bruant des pinèdes;17857;;
AIMBOT;Aimophila botterii;Bruant de Botteri;17858;;
AIMCAR;Aimophila carpalis;Bruant à épaulettes;17860;;
AIMCAS;Aimophila cassinii;Bruant de Cassin;17859;;
AIMENS;Aimophila rufescens;Bruant roussâtre;17863;;
AIMEPS;Aimophila ruficeps;Bruant à calotte fauve;17861;;
AIMHUM;Aimophila humeralis;Bruant à plastron;17852;;
AIMMYS;Aimophila mystacalis;Bruant à moustaches;17851;;
AIMNOT;Aimophila notosticta;Bruant d'Oaxaca;17862;;
AIMSTO;Aimophila stolzmanni;Bruant de Tumbes;17856;;
AIMSTR;Aimophila strigiceps;Bruant à calotte rayée;17855;;
AIMSUM;Aimophila sumichrasti;Bruant à queue rousse;17854;;
AIMUDA;Aimophila ruficauda;Bruant ligné;17853;;
AIXGAL;Aix galericulata;Canard mandarin;7212;;
AIXSPO;Aix sponsa;Canard branchu;7211;;
AJAAJA;Ajaia ajaja;Spatule rosée;7061;;
ALAALA;Alaemon alaudipes;Sirli du désert;16811;;
ALAARV;Alauda arvensis;Alouette des champs;16856;;
ALAGUL;Alauda gulgula;Alouette gulgule;16858;;
ALAHAM;Alaemon hamertoni;Sirli de Witherby;16812;;
ALAJAP;Alauda japonica;Alouette du Japon;16857;;
ALARAZ;Alauda razae;Alouette de Razo;16859;;
ALASPE;Alaudidae;;16752;;
ALCARG;Alcedo argentata;Martin-pêcheur argenté;10885;;
ALCATT;Alcedo atthis;Martin-pêcheur d'Europe;10877;;
ALCAZU;Alcedo azurea;Martin-pêcheur à dos bleu;10881;;
ALCCAS;Alcippe castaneceps;Alcippe à tête marron;16667;;
ALCCHR;Alcippe chrysotis;Alcippe à poitrine dorée;16664;;
ALCCOE;Alcedo coerulescens;Martin-pêcheur aigue-marine;10891;;
ALCCRI;Alcedo cristata;Martin-pêcheur huppé;10886;;
ALCCYA;Alcedo cyanopecta;Martin-pêcheur à poitrine bleue;10884;;
ALCDUB;Alcippe dubia;Alcippe à calotte rouille;16674;;
ALCEPS;Alcippe cinereiceps;Alcippe à gorge rayée;16671;;
ALCEUR;Alcedo euryzona;Martin-pêcheur à large bande;10883;;
ALCHER;Alcedo hercules;Martin-pêcheur de Blyth;10876;;
ALCLEU;Alcedo leucogaster;Martin-pêcheur à ventre blanc;10890;;
ALCLLA;Alcippe ruficapilla;Alcippe de Verreaux;16670;;
ALCMEN;Alcedo meninting;Martin-pêcheur méninting;10880;;
ALCMOR;Alcippe morrisonia;Alcippe à joues grises;16679;;
ALCNAI;Alcedo nais;Martin-pêcheur de Principé;10889;;
ALCNEA;Alcippe brunnea;Alcippe de Gould;16673;;
ALCNIP;Alcippe nipalensis;Alcippe du Népal;16680;;
ALCPER;Alcippe peracensis;Alcippe bridé;16678;;
ALCPOI;Alcippe poioicephala;Alcippe à joues brunes;16676;;
ALCPUS;Alcedo pusilla;Martin-pêcheur poucet;10892;;
ALCPYR;Alcippe pyrrhoptera;Alcippe de Java;16677;;
ALCQUA;Alcedo quadribrachys;Martin-pêcheur azuré;10879;;
ALCREA;Alcippe cinerea;Alcippe à gorge jaune;16666;;
ALCRIS;Alcippe rufogularis;Alcippe à gorge rousse;16672;;
ALCSEM;Alcedo semitorquata;Martin-pêcheur à demi-collier;10878;;
ALCSTR;Alcippe striaticollis;Alcippe montagnard;16669;;
ALCTHO;Alcedo thomensis;Martin-pêcheur de Sao Tomé;10888;;
ALCTOR;Alca torda;Petit Pingouin;8832;;
ALCUDA;Alcippe brunneicauda;Alcippe brun;16675;;
ALCVAR;Alcippe variegaticeps;Alcippe à front jaune;16665;;
ALCVIN;Alcippe vinipectus;Alcippe de Hodgson;16668;;
ALCWEB;Alcedo websteri;Martin-pêcheur des Bismark;10882;;
ALEALA;Alethe poliocephala;Alèthe à poitrine brune;14786;;
ALEBAR;Alectoris barbara;Perdrix gambra;7930;;
ALECAS;Alethe castanea;Alèthe à couronne orangée;14791;;
ALECHA;Aleadryas rufinucha;Siffleur à nuque rousse;13784;;
ALECHO;Alethe choloensis;Alèthe du Cholo;14789;;
ALECHU;Alectoris chukar;Perdrix choukar;7927;;
ALEDIA;Alethe diademata;Alèthe à huppe rousse;14790;;
ALEFUE;Alethe fuelleborni;Alèthe à poitrine blanche;14788;;
ALEGRA;Alectoris graeca;Perdrix bartavelle;7926;;
ALELAT;Alectura lathami;Talégalle de Latham;7745;;
ALEMAD;Alectroenas madagascariensis;Founingo bleu;9184;;
ALEMAG;Alectoris magna;Perdrix de Przewalski;7929;;
ALEMEL;Alectoris melanocephala;Perdrix à tête noire;7932;;
ALENIT;Alectroenas nitidissima;Founingo hollandais;9186;;
ALEPHI;Alectoris philbyi;Perdrix de Philby;7928;;
ALEPUL;Alectroenas pulcherrima;Founingo rougecap;9187;;
ALERIS;Alectrurus risora;Moucherolle à queue large;12129;;
ALERYS;Alethe poliophrys;Alèthe à gorge rousse;14787;;
ALESGA;Alectroenas sganzini;Founingo des Comores;9185;;
ALETRI;Alectrurus tricolor;Moucherolle petit-coq;12128;;
ALEUFA;Alectoris rufa;Perdrix rouge;7931;;
ALIAMB;Alisterus amboinensis;Perruche tricolore;9392;;
ALICHL;Alisterus chloropterus;Perruche à ailes vertes;9393;;
ALISCA;Alisterus scapularis;Perruche royale;9391;;
ALLALL;Alle alle;Mergule nain;8827;;
ALOAEG;Alopochen aegyptiacus;Ouette d'Égypte;7181;;
ALOAFF;Alophoixus affinis;Bulbul à queue d'or;15796;;
ALOBRE;Alophoixus bres;Bulbul brès;15794;;
ALOFIN;Alophoixus finschii;Bulbul de Finsch;15790;;
ALOFLA;Alophoixus flaveolus;Bulbul flavéole;15791;;
ALOOCH;Alophoixus ochraceus;Bulbul ocré;15793;;
ALOPAL;Alophoixus pallidus;Bulbul pâle;15792;;
ALOPHA;Alophoixus phaeocephalus;Bulbul à calotte grise;15795;;
ALUNUS;Parus palustris x parus montanus;Hybride M. nonnette X M. boréale;18950;;
AMAAES;Amazona aestiva;Amazone à front bleu;9670;;
AMAAGI;Amazona agilis;Amazone verte;9657;;
AMAAKO;Amaurornis akool;Râle akool;8253;;
AMAALA;Amazilia cyanocephala;Ariane à couronne azur;10582;;
AMAALB;Amazona albifrons;Amazone à front blanc;9655;;
AMAARA;Amazona arausiaca;Amazone de Bouquet;9680;;
AMAAUR;Amazona auropalliata;Amazone à nuque d'or;9672;;
AMAAUT;Amazona autumnalis;Amazone diadème;9663;;
AMAAVA;Amandava amandava;Bengali rouge;17415;;
AMABAR;Amazona barbadensis;Amazone à épaulettes jaunes;9669;;
AMABER;Amazilia beryllina;Ariane béryl;10584;;
AMABIC;Amaurornis bicolor;Râle bicolore;8260;;
AMABOC;Amaurocichla bocagii;Nasique de Bocage;16305;;
AMABOU;Amazilia boucardi;Ariane de Boucard;10579;;
AMACAN;Amazilia candida;Ariane candide;10569;;
AMACAS;Amazilia castaneiventris;Ariane à ventre roux;10593;;
AMACOL;Amazona collaria;Amazone sasabé;9653;;
AMADEC;Amazilia decora;Ariane charmante;10577;;
AMADIS;Amazilia distans;Ariane du Tachira;10574;;
AMADUF;Amazona dufresniana;Amazone de Dufresne;9664;;
AMAEDW;Amazilia edward;Ariane d'Edward;10589;;
AMAERI;Amaurornis olivieri;Râle d'Olivier;8259;;
AMAERY;Amadina erythrocephala;Amadine à tête rouge;17503;;
AMAEUS;Amaurornis olivaceus;Râle des Philippines;8255;;
AMAFAR;Amazona farinosa;Amazone poudrée;9676;;
AMAFAS;Amadina fasciata;Amadine cou-coupé;17502;;
AMAFES;Amazona festiva;Amazone tavoua;9667;;
AMAFIM;Amazilia fimbriata;Ariane de Linné;10573;;
AMAFIN;Amazona finschi;Amazone à couronne lilas;9662;;
AMAFLA;Amaurornis flavirostra;Râle à bec jaune;8258;;
AMAFOR;Amandava formosa;Bengali vert;17416;;
AMAFRA;Amazilia franciae;Ariane de Francia;10580;;
AMAGUI;Amazona guildingii;Amazone de Saint-Vincent;9681;;
AMAICA;Amazona amazonica;Amazone aourou;9674;;
AMAIMP;Amazona imperialis;Amazone impériale;9682;;
AMAINC;Amalocichla incerta;Petite Pseudobrève;13560;;
AMAISA;Amaurornis isabellinus;Râle isabelle;8254;;
AMAKAW;Amazona kawalli;Amazone de Kawall;9677;;
AMALAC;Amazilia lactea;Ariane saphirine;10575;;
AMALIA;Amazilia amazilia;Ariane de Lesson;10594;;
AMALIS;Amazilia amabilis;Ariane aimable;10576;;
AMALUC;Amazilia luciae;Ariane de Lucy;10572;;
AMAMER;Amazona mercenaria;Amazone mercenaire;9675;;
AMAMOE;Amaurospiza moesta;Sporophile noirâtre;18537;;
AMAMOL;Amaurornis moluccanus;Râle des Moluques;8256;;
AMAOCH;Amazona ochrocephala;Amazone à front jaune;9673;;
AMAONS;Amazilia cyanifrons;Ariane à front bleu;10583;;
AMAORA;Amazona oratrix;Amazone à tête jaune;9671;;
AMAPHO;Amaurornis phoenicurus;Râle à poitrine blanche;8257;;
AMAPRE;Amazona pretrei;Amazone de Prêtre;9660;;
AMARHO;Amazona rhodocorytha;Amazone à sourcils rouges;9665;;
AMAROS;Amazilia rosenbergi;Ariane de Rosenberg;10578;;
AMARUT;Amazilia rutila;Ariane cannelle;10590;;
AMASAU;Amazilia saucerrottei;Ariane de Sophie;10586;;
AMASCL;Amalocichla sclateriana;Grande Pseudobrève;13559;;
AMASUB;Amandava subflava;Bengali zébré;17417;;
AMATER;Amazilia chionogaster;Ariane à ventre blanc;10568;;
AMATOB;Amazilia tobaci;Ariane de Félicie;10587;;
AMATUC;Amazona tucumana;Amazone de Tucuman;9659;;
AMATUS;Amazilia chionopectus;Ariane à poitrine blanche;10570;;
AMATZA;Amazilia tzacatl;Ariane à ventre gris;10592;;
AMAURA;Amazilia cyanura;Ariane à queue bleue;10585;;
AMAVEN;Amazona ventralis;Amazone d'Hispaniola;9654;;
AMAVIN;Amazona vinacea;Amazone vineuse;9678;;
AMAVIO;Amazilia violiceps;Ariane à couronne violette;10596;;
AMAVIT;Amazona vittata;Amazone de Porto Rico;9658;;
AMAYUC;Amazilia yucatanensis;Ariane du Yucatan;10591;;
AMAZER;Amazilia leucogaster;Ariane vert-doré;10581;;
AMAZIA;Amazilia viridicauda;Ariane du Pérou;10567;;
AMAZIR;Amazilia viridigaster;Ariane à ventre vert;10588;;
AMAZIS;Amazilia viridifrons;Ariane à front vert;10595;;
AMAZIV;Amazilia versicolor;Ariane versicolore;10571;;
AMAZLA;Amazona leucocephala;Amazone de Cuba;9652;;
AMAZOS;Amazona viridigenalis;Amazone à joues vertes;9661;;
AMAZOV;Amazona versicolor;Amazone de Sainte-Lucie;9679;;
AMBALB;Amblyospiza albifrons;Amblyospize à front blanc;17332;;
AMBFLA;Amblyornis flavifrons;Jardinier à front d'or;13186;;
AMBINO;Amblyornis inornatus;Jardinier brun;13183;;
AMBMAC;Amblyornis macgregoriae;Jardinier de Macgregor;13184;;
AMBSUB;Amblyornis subalaris;Jardinier à huppe orange;13185;;
AMHOPS;Amazona xanthops;Amazone à face jaune;9668;;
AMLORA;Amazona xantholora;Amazone du Yucatan;9656;;
AMMAUR;Ammodramus aurifrons;Bruant à front d'or;17830;;
AMMBAI;Ammodramus bairdii;Bruant de Baird;17827;;
AMMCAU;Ammodramus caudacutus;Bruant à queue aiguë;17824;;
AMMCIN;Ammomanes cincturus;Ammomane élégante;16806;;
AMMDES;Ammomanes deserti;Ammomane isabelline;16808;;
AMMGRA;Ammomanes grayi;Ammomane de Gray;16809;;
AMMGRI;Ammoperdix griseogularis;Perdrix si-si;7914;;
AMMHEN;Ammodramus henslowii;Bruant de Henslow;17826;;
AMMHEY;Ammoperdix heyi;Perdrix de Hey;7915;;
AMMHUM;Ammodramus humeralis;Bruant des savanes;17829;;
AMMLEC;Ammodramus leconteii;Bruant de Le Conte;17825;;
AMMMAR;Ammodramus maritimus;Bruant maritime;17823;;
AMMPHO;Ammomanes phoenicurus;Ammomane à queue rouge;16807;;
AMMSAV;Ammodramus savannarum;Bruant sauterelle;17828;;
AMPBEL;Amphispiza belli;Bruant de Bell;17848;;
AMPBIL;Amphispiza bilineata;Bruant à gorge noire;17847;;
AMPCOR;Ampeliceps coronatus;Martin couronné;15236;;
